url,state,constituency,osn,candidate_name,total_votes,vote_percent,evm_votes,party,postal_votes
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,5,KALASTHRI S,1999,0.17,1967,All India Uzhavargal Uzhaippalargal Katchi,32
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,6,RAMESHBABU R,27503,2.39,27258,Naam Tamilar Katchi,245
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,7,ANNADURAI T S,937,0.08,923,Independent,14
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,8,ANNADURAI S,1218,0.11,1206,Independent,12
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,9,ANNADURAI B,848,0.07,842,Independent,6
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,10,ANBALAGAN M,824,0.07,814,Independent,10
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,11,INDIRAMOHAN P,728,0.06,727,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,12,UDHAYAKUMAR P S,759,0.07,756,Independent,3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,13,AYYAPPAN M,851,0.07,846,Independent,5
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,14,KARUNA S,1855,0.16,1851,Independent,4
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,15,KALAIMANI S,1632,0.14,1632,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,16,KRISHNAMOORTHY A,4175,0.36,4175,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,17,KRISHNAMURTHI R,4001,0.35,4001,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,18,SIVAGURURAJ T,1758,0.15,1758,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,19,GNANASEKAR A,38639,3.35,38503,Independent,136
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,20,PADAVETTAN M,606,0.05,604,Independent,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,21,RAGHUNATHAN K,506,0.04,505,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,22,RAJENDIRAN T,571,0.05,566,Independent,5
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,23,VIGNESHWARAN A,606,0.05,606,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,24,VIJAYAN A,623,0.05,622,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,25,VELU R,1638,0.14,1631,Independent,7
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2211.htm?ac=11,Tamil Nadu,Tiruvannamalai,26,NOTA,12317,1.07,12223,None of the Above,94
