url,state,constituency,osn,candidate_name,total_votes,vote_percent,evm_votes,party,postal_votes
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,7,Balsingh Daravath,5908,0.6,5908,Bhartiya Anarakshit Party,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,8,Bhaskar Naik Bhukya. Dr,,,9811,1,9788,Janasena Party,23
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,9,Uke Kousalya.,11058,1.12,11054,Independent,4
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,10,Kalthi Yarraiah,3851,0.39,3846,Independent,5
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,11,Palvancha. Durga.,3213,0.33,3210,Independent,3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,12,Balu Nayak Bhukya,14866,1.51,14865,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,13,Mokalla. Murali Krishna.,6666,0.68,6666,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,14,Vaditya Shriram Naik,5944,0.6,5942,Independent,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2916.htm?ac=16,Telangana,Mahabubabad,15,NOTA,14082,1.43,14073,None of the Above,9
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,1,ARUNA D.K,333573,33.88,333121,Bharatiya Janata Party,452
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,2,CHALLA VAMSHI CHAND REDDY,193631,19.67,193513,Indian National Congress,118
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,3,MANNE SRINIVAS REDDY,411402,41.78,411241,Telangana Rashtra Samithi,161
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,4,IMRAN AHMED KHAN,4462,0.45,4459,Ambedkar National Congress,3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,5,V. DASRAM NAYAK,2482,0.25,2479,Bahujan Mukti Party,3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,6,E. Shivadurgavaraprasad Reddy,2012,0.2,2010,Indian Rakshaka Nayakudu Party,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,7,Azeez Khan M.A.,1499,0.15,1499,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,8,Imtiyaz Ahamad,8495,0.86,8493,Independent,2
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,9,JORIGHA VISHWESHWAR,2471,0.25,2471,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,10,D. Thimmappa,3489,0.35,3488,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2911.htm?ac=11,Telangana,Mahbubnagar,11,POLA PRASHANTH KUMAR,5783,0.59,5783,Independent,0
